iter	Passed	Remaining
717	2965	1164
718	2968	1160
719	2972	1155
720	2975	1151
721	2978	1146
722	2981	1142
723	2984	1137
724	2987	1133
725	2990	1128
726	2993	1124
727	2997	1119
728	3000	1115
729	3003	1110
730	3006	1106
731	3009	1101
732	3012	1097
733	3015	1092
734	3019	1088
735	3022	1083
736	3024	1079
737	3028	1075
738	3031	1070
739	3034	1066
740	3037	1061
741	3040	1057
742	3043	1052
743	3046	1048
744	3049	1043
745	3052	1039
746	3055	1034
747	3058	1030
748	3060	1025
749	3064	1021
750	3067	1017
751	3071	1012
752	3073	1008
753	3076	1003
754	3079	999
755	3082	994
756	3085	990
757	3088	985
758	3091	981
759	3094	977
760	3097	972
761	3100	968
762	3103	963
763	3105	959
764	3108	954
765	3111	950
766	3114	946
767	3117	941
768	3120	937
769	3122	932
770	3125	928
771	3128	924
772	3131	919
773	3134	915
774	3137	910
775	3139	906
776	3142	902
777	3145	897
778	3148	893
779	3151	888
780	3154	884
781	3157	880
782	3160	875
783	3164	871
784	3167	867
785	3170	863
786	3173	858
787	3176	854
788	3179	850
789	3182	846
790	3185	841
791	3188	837
792	3191	833
793	3194	828
794	3197	824
795	3200	820
796	3203	815
797	3206	811
798	3209	807
799	3212	803
800	3215	798
801	3217	794
802	3220	790
803	3223	785
804	3226	781
805	3229	777
806	3232	773
807	3235	768
808	3238	764
809	3240	760
810	3243	755
811	3246	751
812	3249	747
813	3252	743
814	3255	738
815	3258	734
816	3261	730
817	3264	726
818	3268	722
819	3271	718
820	3275	714
821	3279	710
822	3284	706
823	3288	702
824	3292	698
825	3296	694
826	3299	690
827	3303	686
828	3307	682
829	3314	678
830	3317	674
831	3321	670
832	3325	666
833	3329	662
834	3333	658
835	3337	654
836	3342	650
837	3348	647
838	3352	643
839	3355	639
840	3360	635
841	3364	631
842	3368	627
843	3372	623
844	3379	619
845	3386	616
846	3390	612
847	3395	608
848	3400	604
849	3405	600
850	3418	598
851	3424	594
852	3430	591
853	3434	587
854	3438	583
855	3442	579
856	3453	576
857	3460	572
858	3468	569
859	3472	565
860	3477	561
861	3481	557
862	3487	553
863	3493	549
864	3501	546
865	3508	542
866	3513	539
867	3518	535
868	3525	531
869	3532	527
870	3536	523
871	3542	520
872	3548	516
873	3555	512
874	3561	508
875	3566	504
876	3573	501
877	3578	497
878	3582	493
879	3589	489
880	3596	485
881	3600	481
882	3604	477
883	3607	473
884	3611	469
885	3615	465
886	3619	461
887	3623	457
888	3627	452
889	3630	448
890	3634	444
891	3638	440
892	3642	436
893	3645	432
894	3650	428
895	3654	424
896	3658	420
897	3662	415
898	3666	411
899	3670	407
900	3674	403
901	3678	399
902	3682	395
903	3686	391
904	3691	387
905	3695	383
906	3698	379
907	3702	375
908	3706	371
909	3709	366
910	3713	362
911	3717	358
912	3720	354
913	3723	350
914	3726	346
915	3730	342
916	3733	337
917	3736	333
918	3739	329
919	3742	325
920	3745	321
921	3749	317
922	3752	313
923	3756	308
924	3759	304
925	3762	300
926	3765	296
927	3768	292
928	3771	288
929	3774	284
930	3777	279
931	3781	275
932	3784	271
933	3787	267
934	3791	263
935	3795	259
936	3799	255
937	3802	251
938	3807	247
939	3813	243
940	3817	239
941	3821	235
942	3824	231
943	3829	227
944	3832	223
945	3837	219
946	3842	215
947	3848	211
948	3852	207
949	3856	202
950	3860	198
951	3864	194
952	3868	190
953	3872	186
954	3876	182
955	3880	178
956	3883	174
957	3887	170
958	3891	166
959	3896	162
960	3899	158
961	3903	154
962	3908	150
963	3911	146
964	3914	141
965	3918	137
966	3921	133
967	3925	129
968	3928	125
969	3931	121
970	3934	117
971	3937	113
972	3941	109
973	3944	105
974	3947	101
975	3950	97
976	3954	93
977	3957	89
978	3961	84
979	3964	80
980	3967	76
981	3972	72
982	3975	68
983	3980	64
984	3984	60
985	3989	56
986	3993	52
987	3998	48
988	4002	44
989	4005	40
990	4010	36
991	4014	32
992	4017	28
993	4021	24
994	4024	20
995	4028	16
996	4032	12
997	4035	8
998	4039	4
999	4042	0
