iter	Logloss
0	0.6795698635
1	0.6682817026
2	0.6553970182
3	0.6430452502
4	0.6322283541
5	0.6214958315
6	0.6105502834
7	0.5988855752
8	0.5885958198
9	0.5795830846
10	0.567587019
11	0.5563776298
12	0.5470882542
13	0.5365541037
14	0.5266725451
15	0.5190354941
16	0.5094701095
17	0.5020916506
18	0.4935358752
19	0.4855724126
20	0.4772052414
21	0.4695745312
22	0.4619965533
23	0.4542120049
24	0.4476771403
25	0.4394621583
26	0.4327804888
27	0.4258168164
28	0.4200854701
29	0.4143604099
30	0.4072308059
31	0.4003735703
32	0.3947738401
33	0.3887054272
34	0.3831387708
35	0.3762836882
36	0.3710765079
37	0.3657893017
38	0.360707692
39	0.3555603539
40	0.349825096
41	0.3449593067
42	0.3401650727
43	0.33611444
44	0.3314912938
45	0.3264769245
46	0.3218631265
47	0.3187415815
48	0.3150446165
49	0.311834399
50	0.3079518902
51	0.3040019439
52	0.3004211515
53	0.2975173806
54	0.2939121025
55	0.2901724801
56	0.2863113762
57	0.2834877965
58	0.2807724524
59	0.2783771589
60	0.2754264052
61	0.2725590719
62	0.2695940143
63	0.2662356704
64	0.263642638
65	0.261192414
66	0.2583831164
67	0.2559320185
68	0.2527410383
69	0.2501957342
70	0.2482702312
71	0.2460579598
72	0.2434144531
73	0.240466374
74	0.2383694927
75	0.2363529467
76	0.2339823637
77	0.2317058509
78	0.2301413548
79	0.2279347529
80	0.2261120574
81	0.2241314751
82	0.2224209809
83	0.2203537631
84	0.2183327856
85	0.2162493456
86	0.2143153312
87	0.2128216498
88	0.2110369113
89	0.2093422873
90	0.2078309952
91	0.206008301
92	0.2041377091
93	0.2023267001
94	0.2010198919
95	0.1994849343
96	0.1981173259
97	0.1965757161
98	0.1944713035
99	0.1929353484
100	0.1910627232
101	0.1895325749
102	0.187910666
103	0.1866164996
104	0.1854246383
105	0.1843599168
106	0.1828151573
107	0.1816814511
108	0.1801888235
109	0.1789758661
110	0.1775988111
111	0.1763960569
112	0.1748997506
113	0.1737889507
114	0.1727765631
115	0.1714517673
116	0.1706953498
117	0.1697902014
118	0.1689311127
119	0.1679844556
120	0.1666653286
121	0.1655228203
122	0.1646309581
123	0.1637180934
124	0.1625121386
125	0.161323936
126	0.1601490962
127	0.15925243
128	0.1583452535
129	0.1575627379
130	0.1566496512
131	0.1558131332
132	0.1549710103
133	0.1538804611
134	0.1530820422
135	0.1519663822
136	0.1508706466
137	0.1502186887
138	0.1492160484
139	0.1485050726
140	0.1476886027
141	0.1468824287
142	0.1459122929
143	0.1450681722
144	0.1442920519
145	0.1434667547
146	0.1426858534
147	0.1416679734
148	0.1410522839
149	0.1402524535
150	0.1395650643
151	0.1387854824
152	0.1382137702
153	0.1376210639
154	0.1369471708
155	0.1365287856
156	0.135887418
157	0.1350824591
158	0.1344962036
159	0.1340250294
160	0.133341765
161	0.1329333246
162	0.132330174
163	0.1315293151
164	0.1308368273
165	0.1300703232
166	0.1291408671
167	0.1285806167
168	0.1282298206
169	0.127769791
170	0.1273348826
171	0.1266817278
172	0.1259723601
173	0.1252569412
174	0.1246147611
175	0.1241799141
176	0.1236593526
177	0.1232614527
178	0.1227456541
179	0.1221841147
180	0.1217974463
181	0.1213404606
182	0.1207523071
183	0.1202652277
184	0.1197348045
185	0.1191940986
186	0.1186829204
187	0.1182478954
188	0.117748035
189	0.1172168927
190	0.1167473531
191	0.1162195015
192	0.1157755354
193	0.1153059455
194	0.1148427214
195	0.1144073303
196	0.1138869327
197	0.1134115726
198	0.1129375002
199	0.1124873669
200	0.1119382918
201	0.111552264
202	0.1111612158
203	0.1106251717
204	0.1101893051
205	0.1097765744
206	0.1093046236
207	0.1089354027
208	0.1083514868
209	0.1079576316
210	0.1074548036
211	0.1069768557
212	0.1066056984
213	0.1062629963
214	0.1057581255
215	0.1053457838
216	0.1049780038
217	0.1047003256
218	0.1043684563
219	0.1040732095
220	0.1037846519
221	0.1034017559
222	0.1030114456
223	0.1025920851
224	0.1020959212
225	0.1015939709
226	0.1013024461
227	0.100939803
228	0.1006434319
229	0.1003054267
230	0.09994118808
231	0.0994385371
232	0.0990361476
233	0.09855211847
234	0.09816557379
235	0.09786470796
236	0.09762018806
237	0.09729181169
238	0.09692235982
239	0.0967201156
240	0.09641356843
241	0.09621986173
242	0.0957875717
243	0.09550333152
244	0.09504747068
245	0.09472657995
246	0.09449545058
247	0.09423619622
248	0.09410459336
249	0.09362254686
250	0.09341132189
251	0.09324825812
252	0.09291925404
253	0.09268773604
254	0.09229036398
255	0.09200163779
256	0.09178064283
257	0.09135965603
258	0.09093375128
259	0.0906005736
260	0.09021572886
261	0.08976922513
262	0.08949992069
263	0.08923909496
264	0.08903360399
265	0.08883138142
266	0.08850072974
267	0.08824861017
268	0.08796156519
269	0.08767034626
270	0.08749699754
271	0.08721863707
272	0.08693259874
273	0.08667650843
274	0.08633615816
275	0.08609001391
276	0.08580667281
277	0.08555241846
278	0.08531719656
279	0.08507304172
280	0.08487919385
281	0.08462532361
282	0.0844296792
283	0.08416835338
284	0.08391541
285	0.08356243324
286	0.08332693738
287	0.08310769438
288	0.08281079314
289	0.08250080732
290	0.08224083608
291	0.08200753607
292	0.08174576637
293	0.08146782878
294	0.08118649582
295	0.08092056897
296	0.08057452282
297	0.08051771362
298	0.08026308031
299	0.08004205143
300	0.07985990125
301	0.07968593678
302	0.07937084562
303	0.07911457731
304	0.07888873321
305	0.07874371269
306	0.07843559835
307	0.07827797944
308	0.07809625085
309	0.07787194937
310	0.0777045498
311	0.07752530362
312	0.07727770366
313	0.07717908721
314	0.07692016528
315	0.07677712899
316	0.07657087915
317	0.07630361774
318	0.07591454511
319	0.07573515678
320	0.07528084048
321	0.07499330477
322	0.07484443821
323	0.07463576057
324	0.0743739521
325	0.07422899941
326	0.07401962752
327	0.07378609458
328	0.07354867103
329	0.07329717012
330	0.07308878388
331	0.07291524197
332	0.07281624463
333	0.07251762827
334	0.07224071995
335	0.07193830634
336	0.07168213623
337	0.07146896741
338	0.07127764425
339	0.07102788658
340	0.07078855891
341	0.07070817695
342	0.0705671136
343	0.07045038024
344	0.0704063862
345	0.07023187285
346	0.07007761118
347	0.06991973414
348	0.06986328386
349	0.06972521366
350	0.06950887723
351	0.06929158389
352	0.06905577306
353	0.06890473165
354	0.06868132311
355	0.06851678554
356	0.06835716947
357	0.06819761736
358	0.06800324645
359	0.06783472716
360	0.06770283905
361	0.06764357814
362	0.06752869527
363	0.06732862493
364	0.06706630957
365	0.06697480175
366	0.06691941918
367	0.06684499381
368	0.06664597859
369	0.06651601753
370	0.06640162087
371	0.06614805786
372	0.06611659695
373	0.06595193048
374	0.0658099296
375	0.06560671297
376	0.06529928417
377	0.06513947749
378	0.06503649746
379	0.06483331928
380	0.06466264906
381	0.06444796023
382	0.06432956215
383	0.06408517374
384	0.06392909195
385	0.06371274873
386	0.06361781679
387	0.06356376781
388	0.06346919317
389	0.06331484589
390	0.06298043605
391	0.0627698249
392	0.06259186643
393	0.06250385443
394	0.06237297976
395	0.06228086716
396	0.06223290206
397	0.06206510157
398	0.06183144426
399	0.0616263093
400	0.06159573454
401	0.06149390073
402	0.06132814619
403	0.06104889666
404	0.06091652847
405	0.06072292806
406	0.06068502791
407	0.06050835199
408	0.06025566447
409	0.06009875597
410	0.06002776022
411	0.05981555411
412	0.0596925844
413	0.05948897106
414	0.05931313768
415	0.05913414025
416	0.05902680084
417	0.05885250329
418	0.05871742205
419	0.05864340891
420	0.05851010062
421	0.05836136684
422	0.05807849191
423	0.05798506284
424	0.05785604867
425	0.05764834538
426	0.05749286739
427	0.0573810956
428	0.05729028914
429	0.0571032643
430	0.05696082438
431	0.05693676672
432	0.05686963348
433	0.05681533542
434	0.05674591685
435	0.05671691507
436	0.05649495577
437	0.05635654636
438	0.0561922275
439	0.05609770907
440	0.05592202688
441	0.05581941191
442	0.0557181609
443	0.05569021682
444	0.05562705787
445	0.05552739244
446	0.05549569246
447	0.05545471742
448	0.05537308264
449	0.05519738753
450	0.0551262787
451	0.05495364944
452	0.05476776436
453	0.05472190335
454	0.05456748823
455	0.05444629147
456	0.05430173745
457	0.05413819652
458	0.0540087643
459	0.05392050032
460	0.05382853149
461	0.05369140721
462	0.05357714333
463	0.05349438753
464	0.0533457358
465	0.05325647357
466	0.05299442312
467	0.05288263324
468	0.0527639389
469	0.05266949026
470	0.05260216059
471	0.05241867973
472	0.05232807808
473	0.05220829891
474	0.05205929182
475	0.05197156542
476	0.05192796002
477	0.05175516857
478	0.05159098217
479	0.05150908894
480	0.05143406398
481	0.05133715167
482	0.05117962225
483	0.05107254646
484	0.05098792854
485	0.05090885498
486	0.05079375502
487	0.05068668376
488	0.05060029741
489	0.05044363379
490	0.05030723057
491	0.05017167895
492	0.05003731038
493	0.04990622862
494	0.04981868571
495	0.04963371876
496	0.04944624681
497	0.0493755263
498	0.04922061367
499	0.04912359282
500	0.04902977091
501	0.04898858587
502	0.04891820846
503	0.04882696651
504	0.04879686244
505	0.04872144399
506	0.04862745797
507	0.04854242459
508	0.04842104757
509	0.048289509
510	0.04823627252
511	0.04820246231
512	0.04807147101
513	0.04797400369
514	0.04784397187
515	0.04777899215
516	0.04763542863
517	0.04751560682
518	0.04743094819
519	0.04732985677
520	0.04725607689
521	0.04715161401
522	0.04703814486
523	0.04700438375
524	0.04688079829
525	0.04674047506
526	0.04667565945
527	0.04657407699
528	0.04652159582
529	0.04649601719
530	0.0463662561
531	0.0463204946
532	0.04623310611
533	0.04619680511
534	0.04608062548
535	0.04593043986
536	0.04582098118
537	0.04573011528
538	0.04557204182
539	0.04544096458
540	0.04536000888
541	0.04534857124
542	0.04524604156
543	0.04510056553
544	0.04496814565
545	0.04486485936
546	0.04482403616
